iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
368000;512;4760.55;6103.76;28.22%;4859.205907;6103.32
369000;512;4806.66;6125.52;27.44%;4876.849572;6125.13
370000;512;4804.57;6273;30.56%;4950.854251;6272.64
371000;512;4815.05;4984.05;3.51%;4955.617601;4983.56
372000;512;4835.2;6040.45;24.93%;4985.48708;6040.09
373000;512;4829.48;5883.7;21.83%;4959.051034;5883.22
374000;512;4853.91;6184.62;27.42%;4944.290763;6184.25
375000;512;4878.41;6363.1;30.43%;4970.938433;6362.74
376000;512;4896.26;6235.86;27.36%;5055.843813;6235.44
377000;512;4908.31;5726.98;16.68%;4985.268376;5726.61
378000;512;4920.67;6258.42;27.19%;5093.019893;6258.03
379000;512;4929.99;6199.23;25.75%;5091.187117;6198.83
380000;1024;4943.23;6079.34;22.98%;5100.293567;6078.81
381000;1024;4945.33;5996.19;21.25%;5118.061361;5995.7
382000;1024;4938.79;6079.72;23.10%;5130.741385;6079.18
383000;1024;4958.47;5314.5;7.18%;5087.425689;5313.86
384000;1024;4978.52;5484.3;10.16%;5164.351055;5483.41
385000;1024;5006.55;5343.76;6.74%;5138.0343;5343.23
386000;1024;5015.78;6076.78;21.15%;5240.919655;6076.19
387000;1024;5014.77;5595.44;11.58%;5203.256269;5594.95
388000;1024;5038.42;6063.47;20.34%;5146.340342;6063.04
389000;1024;5031.12;5878.61;16.84%;5181.277847;5878.15
390000;1024;5048.5;6213.52;23.08%;5228.556957;6213
391000;1024;5055.95;5822.96;15.17%;5238.692631;5822.52
392000;1024;5089.92;5899.9;15.91%;5233.185837;5899.37
393000;1024;5082.51;6123.55;20.48%;5229.132417;6123.1
394000;1024;5124.04;6095.09;18.95%;5243.165853;6094.61
395000;1024;5129.78;6893.08;34.37%;5265.931946;6892.55
396000;1024;5150.49;6213.37;20.64%;5294.684341;6212.78
397000;1024;5155.35;6214.45;20.54%;5332.024948;6213.95
398000;1024;5174.87;6268.59;21.14%;5313.992676;6268.14
399000;1024;5183.62;5607.55;8.18%;5331.571353;5607
400000;1024;5199.39;6352.79;22.18%;5356.756042;6352.18
401000;1024;5208.65;6237.49;19.75%;5368.658314;6236.96
402000;1024;5198.69;6222.47;19.69%;5388.444302;6221.98
403000;1024;5232.44;5800.72;10.86%;5341.354842;5800.18
404000;1024;5253.23;6342.44;20.73%;5392.920007;6341.94
405000;1024;5235.86;5988.87;14.38%;5395.682363;5987.94
406000;1024;5260.87;6497.98;23.52%;5486.393725;6497.47
407000;1024;5262.68;5953.32;13.12%;5462.626874;5952.85
408000;1024;5279.72;6460.91;22.37%;5466.887774;6460.42
409000;1024;5312.9;6989.16;31.55%;5478.859792;6988.67
410000;1024;5323.71;5540.94;4.08%;5470.800814;5539.98
411000;1024;5335.93;5801.29;8.72%;5482.609367;5800.83
412000;1024;5353.14;7011.73;30.98%;5532.895334;7011.19
413000;1024;5373.24;7013.34;30.52%;5510.833342;7012.83
414000;1024;5385.2;6405.16;18.94%;5549.974325;6404.68
415000;1024;5365.78;6947.44;29.48%;5571.200967;6946.96
416000;1024;5394.99;7098.13;31.57%;5552.821496;7097.64
417000;1024;5422.89;6986.77;28.84%;5624.532428;6986.28
418000;1024;5429.22;7015.18;29.21%;5520.962808;7014.73
419000;1024;5441.47;7159.66;31.58%;5630.543571;7159.2
420000;1024;5431.46;5982.51;10.15%;5588.637831;5982
421000;1024;5470.45;6195.9;13.26%;5645.356343;6195.41
422000;1024;5481.22;7091.91;29.39%;5632.685024;7091.34
423000;1024;5490.79;7087.13;29.07%;5584.650622;7086.59
424000;1024;5477.63;7105.52;29.72%;5594.822452;7105.07
425000;1024;5500.19;7032.44;27.86%;5618.758296;7031.96
426000;1024;5518.61;7078.02;28.26%;5751.656331;7077.55
427000;1024;5548.26;5880.47;5.99%;5721.517386;5880.02
428000;1024;5565.86;6177.23;10.98%;5731.057855;6176.74
429000;1024;5570.49;7137.74;28.13%;5658.52674;7137.27
430000;1024;5595.53;7153.8;27.85%;5758.387621;7153.35
431000;1024;5603.61;7187.89;28.27%;5806.604758;7187.43
432000;1024;5597.63;7255.24;29.61%;5749.012279;7254.73
433000;1024;5597.13;7090.54;26.68%;5760.249112;7090.05
434000;1024;5613.99;7157.59;27.50%;5779.987213;7157.03
435000;1024;5626.18;6639.67;18.01%;5877.770469;6639.21
436000;1024;5640.01;7115.93;26.17%;5873.358876;7115.49
437000;1024;5645.87;6524.32;15.56%;5821.010984;6523.74
438000;1024;5662.95;7174.12;26.69%;5852.087809;7173.64
439000;1024;5670.85;6274.32;10.64%;5879.328306;6273.8
440000;1024;5708.87;6559.16;14.89%;5890.603849;6558.68
441000;1024;5705.57;7311.82;28.15%;5864.079031;7311.28
442000;1024;5714.04;7319.43;28.10%;5863.213533;7318.96
443000;1024;5750.36;7175.31;24.78%;5873.754797;7174.79
444000;1024;5738.73;6392.25;11.39%;5983.032102;6391.73
445000;1024;5777.52;7237;25.26%;5964.92463;7236.54
446000;1024;5794.3;6207.89;7.14%;5931.697171;6207.37
447000;1024;5795.64;6613.28;14.11%;5908.731822;6612.82
448000;1024;5820.98;7195.4;23.61%;5969.874878;7194.93
449000;1024;5808.09;7015.87;20.79%;6021.137817;7015.33
450000;1024;5842.9;7174.13;22.78%;6060.9177;7173.65
451000;1024;5823.81;7284.2;25.08%;6047.956752;7283.73
452000;1024;5858.34;7201.1;22.92%;6013.33025;7200.57
453000;1024;5888;7201.64;22.31%;5994.468044;7201.08
454000;1024;5905.95;7129.04;20.71%;6068.726123;7128.49
